"HOUSE_ID","HousePrice","StoreArea","BasementArea","LawnArea","StreetHouseFront","Location","ConnectivityType","BuildingType","ConstructionYear","EstateType","SellingYear","Rating","SaleType"
"0001",163000,433,662,9120,76,"RK Puram","Byway","IndividualHouse",1958,"Other",2008,6,"NewHouse"
"0002",102000,396,836,8877,67,"Jama Masjid","Byway","IndividualHouse",1951,"Other",2006,4,"NewHouse"
"0003",265979,864,0,11700,65,"Burari","Byway","IndividualHouse",1880,"Other",2009,7,"NewHouse"
"0004",181900,572,594,14585,NA,"RK Puram","Byway","IndividualHouse",1960,"Other",2007,6,"NewHouse"
"0005",252000,1043,0,10574,85,"Bawana","Byway","IndividualHouse",2005,"Other",2009,8,"NewHouse"
"0006",180000,440,570,10335,78,"Timarpur","Byway","IndividualHouse",1968,"SemiPrivate",2006,5,"NewHouse"
"0007",115000,336,0,21750,100,"Vasant Vihar","Byway","IndividualHouse",1960,"PrivateBuilder",2009,5,"NewHouse"
"0008",176000,486,552,9900,NA,"Tilak Nagar","Frontage road","IndividualHouse",1968,"PrivateBuilder",2008,7,"NewHouse"
"0009",192000,430,24,3182,43,"Adarsh Nagar","Byway","RowHousesE",2004,"Other",2010,8,"NewHouse"
"0010",132500,264,588,7758,NA,"Timarpur","Byway","IndividualHouse",1962,"Other",2007,5,"NewHouse"
"0011",137500,525,111,14375,NA,"Pitampura","Byway","IndividualHouse",1958,"Other",2009,6,"SecondResale"
"0012",125500,288,599,6173,NA,"Timarpur","Byway","IndividualHouse",1967,"SemiPrivate",2007,5,"NewHouse"
"0013",184000,240,329,9120,60,"Chhatarpur","Byway","IndividualHouse",1925,"PrivateBuilder",2008,7,"NewHouse"
"0014",174000,343,0,8125,65,"Karol Bagh","Byway","IndividualHouse",1994,"Other",2009,6,"NewHouse"
"0015",119000,384,241,8405,50,"Jama Masjid","Byway","IndividualHouse",1900,"SemiPrivate",2008,5,"NewHouse"
"0016",155000,576,350,7200,60,"Rohini","Frontage road","IndividualHouse",1936,"SemiPrivate",2009,7,"NewHouse"
"0017",255500,908,0,11146,87,"Okhla Indl Estate","Byway","IndividualHouse",2006,"Other",2009,8,"NewHouse"
"0018",138800,299,75,15870,NA,"RK Puram","Byway","IndividualHouse",1969,"Other",2006,5,"SecondResale"
"0019",137000,528,672,8740,74,"Timarpur","Byway","IndividualHouse",1982,"Other",2009,5,"NewHouse"
"0020",137000,400,220,11345,95,"RK Puram","Frontage road","MultiStoreyBuilding",1948,"Other",2007,5,"NewHouse"
"0021",147400,480,0,2544,24,"Bawana","Byway","RowHouses",2005,"Other",2006,7,"NewHouse"
"0022",109008,352,288,8593,77,"RK Puram","Byway","IndividualHouse",1957,"Other",2008,4,"NewHouse"
"0023",155000,440,504,8816,80,"Dhaula Kuan","Byway","IndividualHouse",1971,"SemiPrivate",2010,6,"NewHouse"
"0024",162000,576,72,9830,NA,"RK Puram","Byway","IndividualHouse",1959,"Other",2010,5,"NewHouse"
"0025",228500,647,0,9375,NA,"India Gate","Byway","IndividualHouse",2002,"Other",2007,8,"NewHouse"
"0026",200624,484,1219,32668,NA,"Ina Colony","Byway","IndividualHouse",1957,"Other",2007,6,"FourthResale"
"0027",152000,462,493,10793,80,"Tilak Nagar","Dual carriageway","IndividualHouse",1969,"GovernmentBuild",2007,5,"NewHouse"
"0028",137500,480,763,8800,80,"RK Puram","Frontage road","IndividualHouse",1963,"SemiPrivate",2010,6,"SecondResale"
"0029",160000,462,510,2160,24,"Bawana","Byway","RowHouses",1999,"Other",2008,7,"NewHouse"
